,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
0,8501118:0:5,8588838,187.44075
1,8501118:0:5,8501118:0:3,13.395679
2,8501118:0:5,8530749,262.41724
3,8501118:0:5,8592209,496.62622
4,8501118:0:5,8588983,137.4605
5,8501118:0:5,8501118:0:4,5.4824514
6,8501118:0:5,8592202,283.5971
7,8501118:0:5,8593866,348.18857
8,8501118:0:5,8510421,496.96426
9,8501118:0:5,8501118:0:1,25.3291
10,8501118:0:5,8592213,430.5245
11,8501118:0:5,8588839,342.9538
12,8501118:0:5,Parent8501118,181.70978
13,8501118:0:5,8593869,348.22852
14,8501118:0:5,8501118:0:2,17.00221
15,8501181:0:1,Parent8501181,0.0
16,8501181:0:1,8501160:0:2,424.9779
17,8501181:0:1,8501120:0:8,455.43802
18,8501181:0:1,8579254,289.19604
19,8501181:0:1,8501120:0:5,455.43802
20,8501181:0:1,Parent8501160,424.9779
21,8501181:0:1,8501120:0:3,455.43802
22,8501181:0:1,Parent8501120,455.43802
23,8501181:0:1,8592050:0:F,422.53848
24,8501181:0:1,8592050:0:H,359.1886
25,8501181:0:1,8592050,359.1886
26,8501181:0:1,8501120:0:70,455.43802
27,8501181:0:1,8592098,290.8989
28,8501181:0:1,8501120:0:6,455.43802
29,8501181:0:1,8592050:0:C,359.1886
30,8501181:0:1,8592133,498.9176
31,8501181:0:1,8579253,122.82039
32,8501181:0:1,8590442,284.40012
33,8501181:0:1,8592050:0:D,359.1886
34,8501181:0:1,8592125,423.4987
35,8501181:0:1,8501181:0:2,0.0
36,8501181:0:1,8591818,54.007874
37,8501181:0:1,8591988,191.45209
38,8501181:0:1,8501120:0:4,455.43802
39,8501181:0:1,8592011,407.73706
40,8501181:0:1,8501120,455.43802
41,8501181:0:1,8501181,0.0
42,8501181:0:1,Parent8592050,359.1886
43,8501181:0:1,8501120:0:1,455.43802
44,8501181:0:1,8501120:0:7,455.43802
45,8501181:0:1,8501160:0:1,424.9779
46,8501181:0:1,8501160,424.9779
47,8501208,8593844,74.49929
48,8501208,8592106,172.30966
49,8501208,8592021,241.66927
50,8501208,8592102,450.06818
51,8501208,8518452:0:3,494.64563
52,8501208,8518452:0:1,489.49466
53,8501208,8518452:0:4,497.29803
54,8501208,8501207,409.0584
55,8501208,8592105,215.86086
56,8501208,8592022,402.6583
57,8501208,8592103,442.90872
58,8501208,8501209,477.22647
59,8501208,8518452:0:2,491.95267
60,8506907,8506903,428.7513
61,8506907,8581917,324.75302
62,8506907,8505529,169.35074
63,8506907,8581918,435.5788
64,8506907,8506905,191.3803
65,8570423,8570422,303.38284
66,8579238:0:D,8592115,440.40628
67,8579238:0:D,8592118,301.92072
68,8579238:0:D,8592099,461.0011
69,8579238:0:D,8579238,0.0
70,8579238:0:D,8592008,332.7192
71,8579238:0:D,8592131,218.76044
72,8587546,8591968,379.16177
73,8589525,8579239:0:E,425.3193
74,8589525,Parent8579239,425.3193
75,8589525,8591966,473.60287
76,8589525,8579239:0:B,440.44128
77,8589525,8579239,425.3193
78,8589525,8591970,456.02274
79,8591946,8591961,181.78293
80,8591946,8591952,498.89194
81,8591946,8591954,247.74388
82,8591946,8591960,481.22794
83,8591946,8501215,492.3076
84,8591946,8591947,468.6141
85,8591946,8591949,490.1091
86,8591946,8591951,247.92633
87,8591946,8588873,474.1943
88,8591946,8501216,469.92242
89,8592035,8501160:0:2,471.3363
90,8592035,8592001,290.10086
91,8592035,8592119,332.29892
92,8592035,8592060,344.70297
93,8592035,Parent8501160,471.3363
94,8592035,8591980,237.2857
95,8592035,8592104,294.0355
96,8592035,8592041,349.39355
97,8592035,8592109,326.45102
98,8592035,8592120,326.84998
99,8592035,8592010,381.27933
100,8592035,8592036,450.96423
101,8592035,8592011,497.25702
102,8592035,8592096,399.1839
103,8592035,8591984,220.31961
104,8592035,8501160:0:1,471.3363
105,8592035,8501160,471.3363
106,8592049,8510543,188.83812
107,8592049,Parent8518452,191.07657
108,8592049,8518452:0:3,198.65674
109,8592049,8518452:0:1,214.30643
110,8592049,8592217,451.30582
111,8592049,8518452:0:4,191.76935
112,8592049,8592105,467.67566
113,8592049,8592103,242.01604
114,8592049,8592180,404.20242
115,8592049,8501209,454.55127
116,8592049,8592179,332.4204
117,8592049,8518452:0:2,207.34944
118,8592080,8593837,242.04959
119,8592080,8592068,261.03314
120,8592080,8592106,383.67322
121,8592080,8591983,399.1555
122,8592080,8592021,353.74295
123,8592080,8593838,336.84747
124,8592080,8595938,437.60336
125,8592080,8592044,227.8297
126,8592089,8592055,72.95323
127,8592089,8592019,380.32587
128,8592089,8595004,183.28061
129,8592089,8592092,177.16962
130,8592089,8587357,247.64229
131,8592089,8593249,279.97812
132,8592115,8579238:0:D,440.40628
133,8592115,8592067,226.01135
134,8592115,8592016,417.99225
135,8592115,8579238,440.40628
136,8592115,8592059,419.85678
137,8592135,8501160:0:2,406.20203
138,8592135,8504176,459.14706
139,8592135,8592034,261.5062
140,8592135,8592060,199.98431
141,8592135,Parent8501160,406.20203
142,8592135,8592098,486.72565
143,8592135,8592138,439.57565
144,8592135,8592076,434.91406
145,8592135,8592071,368.00412
146,8592135,8590442,450.71152
147,8592135,8592120,215.65616
148,8592135,8592125,287.11435
149,8592135,8592010,430.23767
150,8592135,8591988,459.3979
151,8592135,8592053,459.7834
152,8592135,8592011,308.0618
153,8592135,8592096,481.9358
154,8592135,8591984,433.65106
155,8592135,8501160:0:1,406.20203
156,8592135,8501160,406.20203
157,8592135,8592033,354.64124
158,8593861,Parent8501122,28.987768
159,8593861,8592164,300.1616
160,8593861,8592155,452.98154
161,8593861,8592162,471.74374
162,8593861,8501122:0:2,34.900253
163,8593861,8501122:0:1,30.868025
164,8593861,8592160,269.4826
165,8593861,8592154,271.99576
166,Parent8501181,8501181:0:1,0.0
167,Parent8501181,8501160:0:2,424.9779
168,Parent8501181,8501120:0:8,455.43802
169,Parent8501181,8579254,289.19604
170,Parent8501181,8501120:0:5,455.43802
171,Parent8501181,Parent8501160,424.9779
172,Parent8501181,8501120:0:3,455.43802
173,Parent8501181,Parent8501120,455.43802
174,Parent8501181,8592050:0:F,422.53848
175,Parent8501181,8592050:0:H,359.1886
176,Parent8501181,8592050,359.1886
177,Parent8501181,8501120:0:70,455.43802
178,Parent8501181,8592098,290.8989
179,Parent8501181,8501120:0:6,455.43802
180,Parent8501181,8592050:0:C,359.1886
181,Parent8501181,8592133,498.9176
182,Parent8501181,8579253,122.82039
183,Parent8501181,8590442,284.40012
184,Parent8501181,8592050:0:D,359.1886
185,Parent8501181,8592125,423.4987
186,Parent8501181,8501181:0:2,0.0
187,Parent8501181,8591818,54.007874
188,Parent8501181,8591988,191.45209
189,Parent8501181,8501120:0:4,455.43802
190,Parent8501181,8592011,407.73706
191,Parent8501181,8501120,455.43802
192,Parent8501181,8501181,0.0
193,Parent8501181,Parent8592050,359.1886
194,Parent8501181,8501120:0:1,455.43802
195,Parent8501181,8501120:0:7,455.43802
196,Parent8501181,8501160:0:1,424.9779
197,Parent8501181,8501160,424.9779
198,8501160:0:2,8501181:0:1,424.9779
199,8501160:0:2,8592035,471.3363
200,8501160:0:2,8592135,406.20203
201,8501160:0:2,Parent8501181,424.9779
202,8501160:0:2,8592001,256.99756
203,8501160:0:2,8592060,450.63678
204,8501160:0:2,8592134,445.84372
205,8501160:0:2,Parent8501160,0.0
206,8501160:0:2,8592004,363.8231
207,8501160:0:2,8592098,142.78746
208,8501160:0:2,8592041,406.62125
209,8501160:0:2,8592133,249.72884
210,8501160:0:2,8579253,470.48544
211,8501160:0:2,8590442,457.98996
212,8501160:0:2,8592120,261.2718
213,8501160:0:2,8592125,426.65997
214,8501160:0:2,8592010,103.47198
215,8501160:0:2,8501181:0:2,424.9779
216,8501160:0:2,8591818,467.92545
217,8501160:0:2,8591988,253.72694
218,8501160:0:2,8592011,114.094025
219,8501160:0:2,8592122,412.76816
220,8501160:0:2,8501181,424.9779
221,8501160:0:2,8592096,128.20598
222,8501160:0:2,8501160:0:1,0.0
223,8501160:0:2,8501160,0.0
224,8504176,8592135,459.14706
225,8504176,8591982,121.87947
226,8504176,8592034,449.3701
227,8504176,8510575,300.68185
228,8504176,8592138,255.64398
229,8504176,8592071,242.13069
230,8504176,8592091,257.80637
231,8504176,8590442,324.80765
232,8504176,8592125,266.1026
233,8579239:0:E,8589525,425.3193
234,8579239:0:E,8592128,361.88663
235,8579239:0:E,Parent8579239,0.0
236,8579239:0:E,8579239:0:B,23.502913
237,8579239:0:E,8591971,322.93192
238,8579239:0:E,8579239,0.0
239,8588842,8588843,397.637
240,8588842,8588841,407.99356
241,8588842,8595148,177.29279
242,8591940,8504178,471.55933
243,8591961,8591946,181.78293
244,8591961,8591954,422.6617
245,8591961,8592248,469.1955
