,sbb_stops_lausanne_region.stop_id,sbb_stops_lausanne_region.stop_name,sbb_stops_lausanne_region.stop_lat,sbb_stops_lausanne_region.stop_lon
0,8579258,"Belmont-sur-L., Blessoney",46.519512,6.683942
1,8593798,"Belmont-sur-L., Burenoz",46.521194,6.672542
2,8588436,"Belmont-sur-L., Grands Champs",46.52241,6.6772943
3,8593806,"Belmont-sur-L., Rouvène",46.521397,6.674779
4,8579257,"Belmont-sur-L., centre",46.519608,6.678444
5,8570176,"Bretigny-sur-Morrens, croisée",46.598103,6.6468863
6,8594177,"Bussigny, Cocagne",46.55473,6.561825
7,8581917,"Bussigny, Dallaz",46.55232,6.5514402
8,8581918,"Bussigny, Grand-Record",46.550022,6.5519342
9,8506907,"Bussigny, Jordil",46.552197,6.5472093
10,8581922,"Bussigny, Riettaz",46.553524,6.5593634
11,8506903,"Bussigny, Sottelles",46.555256,6.550614
12,8506905,"Bussigny, Tatironne",46.552803,6.549545
13,8595217,"Bussigny, Vallon",46.543888,6.553156
14,8581914,"Bussigny, gare",46.5475,6.552294
15,8511214,"Carrouge VD, Champ du Trey",46.602207,6.7740517
16,8511210,"Carrouge VD, Gustave Roud",46.60328,6.771914
17,8557075,"Carrouge VD, Le Borgeau",46.6007,6.7868795
18,8504165,"Carrouge VD, centre",46.606342,6.7763424
19,8594986,"Chavannes-R., Berges",46.527493,6.5749674
20,8501217,"Chavannes-R., Crochy",46.532715,6.5699725
21,8594987,"Chavannes-R., Mouline",46.526176,6.579342
22,8593866,"Chavannes-R., Préfaully",46.533585,6.5790997
23,8510422,"Chavannes-R., Talluchet",46.528656,6.5834475
24,8501212,"Chavannes-R., UNIL-Mouline",46.52499,6.5788927
25,8595147,"Cheseaux-sur-L., Châtelard",46.5781,6.592269
26,8570064,"Cheseaux-sur-L., Pâquis",46.58687,6.603785
27,8588842,"Crissier, Bré",46.55048,6.5792704
28,8510421,"Crissier, Chicorée",46.54075,6.5796566
29,8595148,"Crissier, Chisaz",46.5504,6.5769615
30,8593817,"Crissier, Feleire",46.55141,6.5704036
31,8595986,"Crissier, Lentillières",46.55083,6.572497
32,8507632,"Crissier, Montremoën",46.56198,6.577671
33,8588840,"Crissier, Noutes",46.54351,6.5794587
34,8591939,"Crissier, Zinguerie",46.543633,6.5705385
35,8591940,"Cugy VD, Cavenette",46.580112,6.6356754
36,8570164,"Cugy VD, Le Moulin",46.588924,6.6425834
37,8504178,"Cugy VD, poste",46.583717,6.6389184
38,8573634,"Cugy VD, village",46.585464,6.6405354
39,8501215,"Ecublens VD, Bassenges",46.52459,6.564592
40,8596053,"Ecublens VD, Blévallaire",46.5195,6.577258
41,8591945,"Ecublens VD, Champagne",46.518547,6.57388
42,8591959,"Ecublens VD, Champs-Courbes",46.516342,6.5500927
43,8501214,"Ecublens VD, EPFL",46.522194,6.566137
44,8579233,"Ecublens VD, EPFL (bus)",46.52206,6.5668736
45,8579234,"Ecublens VD, EPFL Piccard",46.520367,6.5684543
46,8501218,"Ecublens VD, Epenex",46.537716,6.5735836
47,8510721,"Ecublens VD, Epenex/Pont-Bleu",46.538486,6.575165
48,8592248,"Ecublens VD, Larges Pièces",46.531746,6.555923
49,8594890,"Ecublens VD, Montaney",46.51882,6.552788
50,8591952,"Ecublens VD, Ormet",46.523605,6.5588694
51,8591953,"Ecublens VD, Parc",46.536972,6.568068
52,8591954,"Ecublens VD, Perrettes",46.5262,6.558456
53,8588873,"Ecublens VD, Pontet",46.529785,6.56602
54,8591962,"Epalinges, Ballègue",46.554882,6.669856
55,8591963,"Epalinges, Biolleyre",46.552464,6.66841
56,8591964,"Epalinges, Bois-Murat",46.545094,6.6544414
57,8591968,"Epalinges, Grand Chemin",46.55442,6.6840854
58,8589525,"Epalinges, Planches",46.544518,6.666694
59,8591969,"Epalinges, Polny",46.554043,6.6655173
60,8591971,"Epalinges, Tuileries",46.54449,6.6578546
61,8570169,"Froideville, Laiterie",46.601112,6.682451
62,8591976,"La Conversion, gare",46.512764,6.6782284
63,8591977,"Lausanne, Abeilles",46.54106,6.6478834
64,8591979,"Lausanne, Alpes",46.51505,6.6367173
